nom des bénéficiaires,Montant du fonds de concours ou de la subvention (numéraire),Prestations en nature
ASSOCIATION NATIONALE MEMBRES ORDRE NATIONAL DU MERITE - SECTION DEPARTEMENTALE DE LA GIRONDE,0.00,Locaux
ASSOCIATION NATIONALE POUR LES ENFANTS INTELLECTUELLEMENT PRECOCES DE L'AQUITAINE - ANPEIP,0.00,Locaux
ASSOCIATION NATIONALE VILLES ET PAYS ART ET HISTOIRE ET DES VILLES SECTEURS SAUVEGARDES ET PROTEGES,0.00,Locaux
ASSOCIATION NOUVELLE ACROPOLE BORDEAUX - ANAB,0.00,Locaux
ASSOCIATION OSTEOPATHE ET PERINATALITE,0.00,Locaux
ASSOCIATION OXYGENE,"3,000.00","Matériel pour manifestations, locaux"
ASSOCIATION PALLIA PLUS,"2,500.00",Locaux
ASSOCIATION PAROLE BEGAIEMENT - APB - DELEGATION DEPARTEMENTALE,0.00,Locaux
ASSOCIATION PATRONAGE ECOLES LAIQUES ST BRUNO,"1,000.00",
ASSOCIATION PEDAGOGIQUE DE L'ECOLE BEL AIR - APEBA,336.00,
ASSOCIATION PETITE ENFANCE ENFANCE ET FAMILLE - APEEF,"1,691,826.00",Locaux
ASSOCIATION PETITS BOUCHONS,"310,000.00",
ASSOCIATION PITCHOUN,"1,815,900.00",Locaux
ASSOCIATION POUR L'ANIMATION ET LES LOISIRS DES PERSONNES AGEES - APALPA,"1,000.00",Matériel pour manifestations
ASSOCIATION POUR L'ENTRAIDE CONTRE LA RECHUTE DE DEPRESSION - AERD,0.00,Locaux
ASSOCIATION POUR L'ETUDE ET LA PREVENTION DU SUICIDE EN AQUITAINE,"2,000.00",
ASSOCIATION POUR L'INNOVATION EN MATIERE D'INTEGRATION - APIMI,"380,000.00",Locaux
ASSOCIATION POUR LA DEFENSE DE LA FAMILLE ET DE L'INDIVIDU (ADFI),0.00,Locaux
ASSOCIATION POUR LA FORMATION ET L'EDUCATION PERMANENTE DE TIVOLI - AFEPT,0.00,Locaux
"ASSOCIATION POUR LA JEUNESSE, LES INITIATIVES ET LE RESEAU DE L'ENGAGEMENT - AJIRE","1,500.00",
ASSOCIATION POUR LA MEDIATION FAMILIALE - APMF,0.00,Locaux
ASSOCIATION POUR LA PREVENTION DU HANDICAP DU AUX TROUBLES DU SOMMEIL ET DE LA VIGILANCE (UP2SV),0.00,Locaux
ASSOCIATION POUR LA READAPTATION ET L'INTEGRATION - ARI,0.00,"Equipements sportifs, locaux"
ASSOCIATION POUR LA RECHERCHE CLINIQUE DE BORDEAUX NORD - ARCBN,0.00,Locaux
ASSOCIATION POUR LA SURVEILLANCE DE LA QUALITE DE L'AIR EN AQUITAINE (AIRAQ),0.00,Locaux
ASSOCIATION POUR LE DON DE SANG BENEVOLE DE BORDEAUX ET ENVIRONS,0.00,Locaux
ASSOCIATION POUR LE DROIT A L'INITIATIVE ECONOMIQUE - ADIE,0.00,Matériel pour manifestations
ASSOCIATION POUR UNE EDUCATION BUISSONNIERE (- APEB),"23,606.00",Equipements sportifs
ASSOCIATION POUR VALORISATION EN RELATION AVEC PROFESSIONNELS - REGION AQUITAINE - AVARAP AQUITAINE,0.00,Locaux
ASSOCIATION PRENDRE SOIN DU LIEN - APSL,"2,500.00",Matériel pour manifestations
ASSOCIATION PROMOTION DU GRAND SAINT-MICHEL,"3,500.00",
ASSOCIATION PROMOTION INSERTION SPORT EN AQUITAINE - APIS,"36,821.00","Matériel pour manifestations, équipements sportifs"
ASSOCIATION PSYCHANALITIQUE DES THERAPEUTES FAMILIAUX D'AQUITAINE - APSYFA,0.00,Locaux
ASSOCIATION PUCEART,500.00,
ASSOCIATION RAYMONDE ROUSSELLE,"4,000.00",
ASSOCIATION REGIONALE D'AQUITAINE DES CENTRES D'ENTRAINEMENTS AUX METHODES D'EDUCATION ACTIVE,0.00,Locaux
ASSOCIATION REGIONALE D'AQUITAINE DES COMBATTANTS VOLONTAIRES DE LA RESISTANCE,250.00,
ASSOCIATION REGIONALE DE PSYCHOLOGIE DU TRAVAIL AQUITAINE - AREPT,0.00,Locaux
ASSOCIATION REGIONALE DES DIPLOMES D'UNIVERSITE D'AQUITAINE - ARDUA,500.00,Locaux
ASSOCIATION REGIONALE DES OEUVRES EDUCATIVES ET DE VACANCES DE L'EDUCATION NATIONALE - AROEVEN,0.00,Locaux
ASSOCIATION RENAISSANCE DES CITES D'EUROPE,"7,000.00",Locaux
ASSOCIATION RENOVATION,0.00,"Equipements sportifs, locaux"
ASSOCIATION REPUBLICAINE DES ANCIENS COMBATTANTS ET VICTIMES DE LA GUERRE - ARAC-VG,0.00,Locaux
ASSOCIATION REVES - DELEGATION DEPARTEMENTALE DE LA GIRONDE,0.00,Matériel pour manifestations
ASSOCIATION RHIN ET DANUBE ANCIENS DE LA PREMIERE ARMEE FRANCAISE DU DEPARTEMENT DE LA GIRONDE,750.00,
ASSOCIATION RUN FEMINA TOUR,0.00,Matériel pour manifestations
ASSOCIATION SOCIALE POUR L'EMPLOI - ASPE SERVICE AUX PERSONNES - ANTENNE BORDEAUX,0.00,Locaux
ASSOCIATION SOLIDARTE EMPLOI (ASE) - ADELPHE,0.00,Locaux
ASSOCIATION SPORT EMPLOI,"4,000.00",
ASSOCIATION SPORTIVE AUTOMOBILE CLUB DU SUD-OUEST,0.00,Matériel pour manifestations
ASSOCIATION SPORTIVE CE BP ACA,0.00,Equipements sportifs
ASSOCIATION SPORTIVE CHARLES MARTIN,"31,796.00",Equipements sportifs
ASSOCIATION SPORTIVE DE LA CAISSE D'EPARGNE AQUITAINE POITOU CHARENTES (APC SPORTS),0.00,Matériel pour manifestations
ASSOCIATION SPORTIVE DE LA POLICE JUDICIAIRE DE BORDEAUX,0.00,Equipements sportifs
ASSOCIATION SPORTIVE DE PREPARATION OLYMPIQUE DU MIDI - SECTION ARTS MARTIAUX (ASPOM JUDO BORDEAUX),0.00,Matériel pour manifestations
ASSOCIATION SPORTIVE DES LUSITANOS DE CENON,0.00,Equipements sportifs
ASSOCIATION SPORTIVE DES SOURDS DE BORDEAUX - ASSB 33,"1,500.00",Equipements sportifs
ASSOCIATION SPORTIVE DU BARREAU DE BORDEAUX,"1,000.00","Matériel pour manifestations, équipements sportifs"
ASSOCIATION SPORTIVE DU GOLF DE BORDEAUX LAC,"5,600.00",
ASSOCIATION SPORTIVE ET CULTURELLE DE MAYOTTE,0.00,Equipements sportifs
ASSOCIATION SPORTIVE ET CULTURELLE DU GROUPE DES ASSURANCES NATIONALES (ASC GAN),0.00,Equipements sportifs
ASSOCIATION SPORTIVE FC PORTO DE BORDEAUX,0.00,Equipements sportifs
ASSOCIATION SPORTIVE KASHIRA AIKIDO,0.00,Equipements sportifs
ASSOCIATION SPORTIVE KUNG-FU WUSHU DE BACALAN,0.00,Equipements sportifs
ASSOCIATION SPORTIVE LOVENTA AUTOMATIQUE,0.00,Equipements sportifs
ASSOCIATION SPORTIVE LYCEE CONDORCET,"1,180.00",
ASSOCIATION TCHADIENNE DE LA NOUVELLE-AQUITAINE - ATNA,0.00,"Matériel pour manifestations, locaux"
ASSOCIATION TEMPS DE PAROLE,0.00,Locaux
ASSOCIATION TERRITOIRES ET INNOVATION SOCIALE (ATIS),"5,000.00",Locaux
ASSOCIATION THEATR'ACTIF,0.00,Locaux
ASSOCIATION THEATRE OMBRE ET LUMIERE,0.00,Locaux
ASSOCIATION UFORCA-BORDEAUX POUR LA FORMATION PERMANENTE,0.00,Locaux
ASSOCIATION UNION BORDEAUX BEGLES,"45,000.00",
ASSOCIATION UNION NATIONALE DES COMBATTANTS DE BORDEAUX-CENTRE,500.00,
ASSOCIATION UNTENDANSES,0.00,Locaux
ASSOCIATION VENEZUELA A BORDEAUX,0.00,Locaux
ASSOCIATION XIKOMBA,0.00,Locaux
ASSOCIATIONS : NOS REVES PRODUCTIONS - NR-PROD,"8,000.00",Locaux
ASSOENCORE,0.00,"Matériel pour manifestations, locaux"
ASSOPOURQUOIPAS33,"1,000.00",Locaux
ASTROLABE ,"152,533.00","Matériel pour manifestations, équipements sportifs,"
ATELIER 14 CIE ISABELLE CHEVEAU/VINCENT HARISDO - CENTRE PRATIQUES ARTIST. ET RECH. CHOREGRAPHIQUES,800.00,"Matériel pour manifestations, locaux"
ATELIER AQUITAINE,0.00,Locaux
ATELIER D'ECO SOLIDAIRE,"4,000.00",Matériel pour manifestations
ATELIER D’ASTROLOGIE D’AQUITAINE,0.00,Locaux
ATELIER GRAPHITE,"42,900.00",
ATELIER VOCAL D'AQUITAINE,0.00,Locaux
ATELIERS LIBRES D'AQUITAINE,0.00,Locaux
ATLANTIC OLDTIMER.COM,0.00,Matériel pour manifestations
AU CLAIR DE LA LUNE,"3,000.00",
AUDITION ET ECOUTE 33 - ASSOCIATION DES PERSONNES ATTEINTES DE PATHOLOGIES AUDITIVES DE LA GIRONDE,0.00,Locaux
AUTEUIL PETITE ENFANCE,"347,000.00",
AUTO DEFENSE ET ARTS MARTIAUX (ADAM),0.00,Equipements sportifs
AVANT GARDE ET JEANNE D'ARC DE BORDEAUX CAUDERAN - AGJA BORDEAUX CAUDERAN,"1,074,006.00","Matériel pour manifestations, équipements sportifs,"
AVISCENE,"3,000.00",
BACALAN TENNIS CLUB - BTC,"5,000.00",Equipements sportifs
BADMINTON CLUB BARBEY,"3,000.00","Matériel pour manifestations, équipements sportifs"
BANQUE ALIMENTAIRE DE BORDEAUX ET DE LA GIRONDE,"49,012.08","Matériel pour manifestations, locaux"
BASTIDE BENAUGE FUTSAL,750.00,Equipements sportifs
BATESTA,0.00,Locaux
BE WELL,"2,500.00",Locaux
BELEZA,0.00,Locaux
BENEVOLES EN ACTION,"7,500.00",Locaux
BEROCCA PRODUCTIONS,0.00,Matériel pour manifestations
BETTER PLAY BASKETBALL (BPB),0.00,Equipements sportifs
BIBLIOTHECA,0.00,Locaux
BIBLIOTHEQUES SANS FRONTIERES (LIBRARIES WITHOUT BORDERS),0.00,Locaux
BIEN-ETRE & BONHEUR DE VIVRE - BBV,0.00,Locaux
BIO'GUSTIN,0.00,Locaux
BORD'EAUX LOISIR PECHE - CLUB DE PECHES SPORTIVES - (BLP),0.00,Matériel pour manifestations
BORDEAUX 5 DE COEUR,"2,071.77","Matériel pour manifestations, locaux"
BORDEAUX ALIENOR D'AQUITAINE,0.00,"Matériel pour manifestations, locaux"
BORDEAUX ART CONTEMPORAIN (BAC),0.00,Matériel pour manifestations
BORDEAUX ASPOM ECHECS,500.00,
BORDEAUX ATHLETIC CLUB ,"13,000.00","Matériel pour manifestations, équipements sportifs,"
BORDEAUX BACKGAMMON CLUB,0.00,Matériel pour manifestations
BORDEAUX BASTIDE BASKET,"38,117.00",Equipements sportifs
BORDEAUX BEACH CHILLERS,0.00,Matériel pour manifestations
BORDEAUX BRIDGE CLUB ESPRIT DES LOIS,"1,000.00",
BORDEAUX BRITISH COMMUNITY - BBC,0.00,Locaux
BORDEAUX CHANSON,"2,000.00",Locaux
BORDEAUX CITE TANGO BCT,0.00,"Matériel pour manifestations, locaux"
BORDEAUX DANCE'IN CLUB,500.00,"Equipements sportifs, locaux"
BORDEAUX DANCESPORT GALAXY (BDSG),0.00,Locaux
BORDEAUX ECOLE INTERNATIONALE DE LOUANGE (BEIL),0.00,Locaux
BORDEAUX ENTREPRENEURS,"21,600.00",Locaux
BORDEAUX ETUDIANTS CLUB - BEC ,"209,595.00","Matériel pour manifestations, équipements sportifs,"
BORDEAUX FOOD CLUB,0.00,Matériel pour manifestations
BORDEAUX FOOTBALL AMERICAIN - LES LIONS DE BORDEAUX,"4,300.00",Equipements sportifs
BORDEAUX GIRONDE HOCKEY SUR GLACE (BGHG),"32,000.00",Locaux
BORDEAUX GIRONDE INVESTISSEMENT,"68,775.00",
BORDEAUX GIRONDE QUEBEC,"2,500.00",Locaux
BORDEAUX GRANDS EVENEMENTS (BGE),"300,000.00","Communication, locaux"
BORDEAUX GREETERS,0.00,Locaux
BORDEAUX HANDISPORT TENNIS,"1,000.00",
BORDEAUX INTER CHALLENGE - BIC,0.00,Locaux
BORDEAUX MARITIME SAUVETAGE & SECOURISME - BM2S,"2,700.00",Equipements sportifs
BORDEAUX MAYOTTE 101,0.00,Equipements sportifs
BORDEAUX MERIGNAC VOLLEY,"84,000.00","Matériel pour manifestations, équipements sportifs"
BORDEAUX NIHONGO HOSHU JUGYOKO (ECOLE COMPLEMENTAIRE JAPONAISE DE BORDEAUX),0.00,Matériel pour manifestations
BORDEAUX OPEN AIR,"15,000.00","Communication, matériel pour manifestations"
BORDEAUX PALMES AVENTURE,0.00,Equipements sportifs
BORDEAUX POUR TOUS,0.00,Locaux
BORDEAUX ROCK ,"15,000.00","Communication, matériel pour manifestations,"
BORDEAUX SERVICE SOLIDARITE,"18,000.00",
BORDEAUX SPORTS,"2,000.00",
BORDEAUX SPORTS DE GLACE,"25,000.00",Locaux
BORDEAUX TEATRO ITALIANO (BTI),0.00,Locaux
BORDEAUX WOMEN'S CLUB,0.00,"Matériel pour manifestations, locaux"
BORDEAUX-ACCUEILLE METROPOLE,"8,300.00","Matériel pour manifestations, locaux"
BORDEAUX-BASTIDE-ESCRIME,"2,000.00","Matériel pour manifestations, équipements sportifs"
"BORDEAUX-LIMA, LA MAISON DU PEROU",0.00,Matériel pour manifestations
BORDELAIS ASSOCIATIFS FALUCHARDS,0.00,Locaux
BOULEVARD DES POTES,0.00,"Matériel pour manifestations, locaux"
BOXERS DE BORDEAUX,"280,000.00",
BOXING CLUB ALAMELE,"8,000.00",Equipements sportifs
BOXING CLUB BACALANAIS,"1,200.00",
BOXING CLUB BORDELAIS,"4,000.00","Matériel pour manifestations, équipements sportifs"
BRIDGE CLUB BORDEAUX SAINT AUGUSTIN,0.00,Locaux
BRUIT DU FRIGO,"16,250.00",Matériel pour manifestations
BULL BORDEAUX FOOTBALL,0.00,Equipements sportifs
BURDIGALA CORPORATION,0.00,Matériel pour manifestations
BURDIGALA PHOTOS CLUB,"1,000.00","Matériel pour manifestations, locaux"
BURDIGALA SAVATE-CLUB,0.00,Equipements sportifs
BURKIN@PAMA.FR,0.00,Locaux
BXA - ESPRIT VOILE,0.00,Matériel pour manifestations
BÔYE-PÂH,0.00,Locaux
CAC33,0.00,Locaux
CAHIERS D'ARCHIVES,0.00,Locaux
CAISSE SOCIALE DE DEVELOPPEMENT LOCAL - CSDL,"115,000.00",Matériel pour manifestations
CALICONTE,0.00,Locaux
CALIXTE COEUR DE BASTIDE,"2,415.00",Matériel pour manifestations
CAMERATA OCEANA,0.00,Locaux
CAMPUS CHARTRONS,"1,104.10",Matériel pour manifestations
CANINE TERRITORIALE DE LA GIRONDE,0.00,Matériel pour manifestations
CAP AND CO,0.00,Equipements sportifs
CAP SCIENCES - CENTRE DE CULTURE SCIENTIFIQUE TECHNIQUE ET INDUSTRIELLE BORDEAUX AQUITAINE,"56,264.00","Communication, matériel pour manifestations"
CARABINS DE BORDEAUX,0.00,Matériel pour manifestations
CASTILLON 1453 - UN TERRITOIRE AU COEUR DE L'HISTOIRE,0.00,Matériel pour manifestations
CATHEDRA,"7,000.00","Matériel pour manifestations, locaux"
CAURI,0.00,Locaux
CDANSLABOITE,"4,000.00",Locaux
CDISCOUNT@SPORT,0.00,Equipements sportifs
CENTRE ACCUEIL CONSULTATION INFORMATION SEXUALITE,"5,400.00",
CENTRE CULTUREL ET D'ANIMATION DES JEUNES - YAVNE,"9,000.00",
CENTRE D'ACCUEIL D'INFORMATION ET D'ORIENTATION - CAIO,"30,000.00",Matériel pour manifestations
CENTRE D'ACTION ET DE PREVENTION CONTRE LA RADICALISATION LIEE A L'ISLAMISME (CAPRI),"19,000.00",Locaux
CENTRE D'ETUDES DE L'AUTO-CONNAISSANCE - CEA,0.00,Locaux
CENTRE D'INFORMATION JEUNESSE AQUITAINE - CIJA,"40,000.00","Matériel pour manifestations, locaux"
CENTRE D'INFORMATION METAPSYCHIQUE - CDIM,0.00,Locaux
CENTRE D'INFORMATION SUR LES DROITS DES FEMMES ET DES FAMILLES DE LA GIRONDE - CIDFF,"7,000.00",Matériel pour manifestations
CENTRE DE LIAISON DES EQUIPES DE RECHERCHE (CLER AMOUR ET FAMILLES),0.00,Locaux
CENTRE DE PREVENTION ET DE LOISIRS DES JEUNES DE BORDEAUX - CPLJ BORDEAUX,"10,000.00",Locaux
CENTRE DE RESSOURCES D'ECOLOGIE PEDAGOGIQUE D'AQUITAINE - CREPAQ,0.00,Locaux
CENTRE DE VOILE DE BORDEAUX LAC,"9,000.00",Locaux
CENTRE DES ETUDES DE LA REPUBLIQUE DEMOCRATIQUE,0.00,Locaux
CENTRE DES FESTIVALS FRANCE-RUSSIE,"1,000.00",Locaux
CENTRE ENTREPRISE COMMUNICATION AVANCEE - CECA,0.00,Matériel pour manifestations
CENTRE HA 32,800.00,
CENTRE JEAN VIGO EVENEMENTS,0.00,Locaux
CENTRE REGIONAL D'AQUITAINE D'ETUDES ET D'ACTIONS SUR LES HANDICAPS ET LES INADAPTATIONS - CREAI,0.00,Locaux
CENTRE REGIONAL D'ECO-ENERGETIQUE D'AQUITAINE - CREAQ,"8,000.00",Matériel pour manifestations
CENTRE RENCONTRES ACTION CULTURELLE BEGLES-CREAC,"20,000.00",
CENTRE SOCIAL BAGATELLE DISPENSAIRE DE BAGATELLE,"11,358.00",
CENTRE SOCIAL ET FAMILIAL BORDEAUX NORD ,"460,887.00","Matériel pour manifestations, équipements sportifs,"
CERCLE ARTISTIQUE SAINT AUGUSTIN (CASA),"2,500.00",
CERCLE BORDELAIS DE SANTE (CBS),0.00,Locaux
CERCLE D'ART BORDELAIS - CAB,0.00,Locaux
CERCLE D'ETUDES ET DE CULTURE FRANÇAISES (CECF),150.00,Locaux
CERCLE D'ETUDES RUSSES,0.00,Locaux
CERCLE ENTREPRISES DU SUD-OUEST (CESO),0.00,Locaux
CERCLE JEAN BAPTISTE LYNCH,0.00,Locaux
CERCLE OENOPHILE AQUITAIN,0.00,Locaux
CERCLE PHILATELIQUE BORDEAUX AQUITAINE,0.00,Locaux
CERCLE POLITEIA,0.00,Locaux
CHAHUTS,"57,000.00","Communication, matériel pour manifestations, locaux"
CHAMBRE DES METIERS DE LA GIRONDE,"11,033.13",
CHAMBRE NATIONALE DES PROPRIETAIRES,0.00,Locaux
CHANT LIBRE,"1,000.00",Locaux
CHANTE ECOLE,800.00,
CHEMINS DE TERRE,0.00,Locaux
CHEMINS DE VIES,0.00,Locaux
CHEVRE FOOTBALL CLUB - CFC,0.00,Equipements sportifs
CHOEUR DE FRANCE ATLANTIQUE - CDFA,0.00,Matériel pour manifestations
CIE LE SOLEIL BLEU,"25,000.00",
CIMADE - SERVICE OECUMENIQUE D'ENTRAIDE,"2,000.00","Matériel pour manifestations, locaux"
CINE MARGES,"2,000.00",
CINEMA AFRICAIN PROMOTION,0.00,Locaux
CINEPHILES DE NOTRE TEMPS,0.00,Locaux
CIRQUE ECLAIR ECOLE CIRQUE D'AQUITAINE,"14,000.00",
CITADEL,"4,000.00",
CLAIR-OBSCUR,0.00,Locaux
CLAP SUD OUEST,"6,000.00",
CLUB 89,0.00,Locaux
CLUB AGORA BORDEAUX 1 « 20 »,0.00,Locaux
CLUB ALPIN FRANÇAIS DE BORDEAUX,"2,000.00",Locaux
CLUB AMICAL CHAUFFOUR,0.00,Equipements sportifs
CLUB ATHLETIQUE DU PORT AUTONOME DE BORDEAUX,0.00,Equipements sportifs
CLUB ATHLETIQUE MUNICIPAL DE BORDEAUX - CAM ,"229,827.00","Matériel pour manifestations, équipements sportifs,"
CLUB BORDEAUX-CAMEROUN-FRANCE,0.00,Locaux
"CLUB BORDELAIS DU CHOCOLAT ""CHOCO PASSION""","1,000.00","Matériel pour manifestations, locaux"
CLUB BOULISTE ALBERT 1ER,0.00,Locaux
CLUB D'ENTREPRISES MERIADECK,"1,000.00",Matériel pour manifestations
CLUB D'EXPLORATION SOUS MARINE D'AQUITAINE - CESMA,0.00,Equipements sportifs
CLUB DE CANNE ET BATON D'AQUITAINE,0.00,Equipements sportifs
CLUB DE LA PRESSE DE BORDEAUX,0.00,Locaux
CLUB DES ENTREPRISES DE BORDEAUX MARITIME,"15,800.00",
"CLUB HISTOIRE ET PATRIMOINE, ARTS ET TECHNIQUES - ""CLUB HEPAT""",0.00,Locaux
CLUB INDEPENDANT BORDELAIS,0.00,Locaux
CLUB LOISIRS AQUITAINE CULTURE (CLAC),0.00,Locaux
CLUB MAQUETTES BORDEAUX METROPOLE,0.00,Matériel pour manifestations
CLUB PETANQUE GRAND PARC,"1,000.00",Locaux
"CLUB PYRENEES AQUITAINE, ASSOCIATION SPORTIVE, EDUCATIVE ET CULTURELLE","627,135.00","Matériel pour manifestations, équipements sportifs,"
CLUB SERVICES 33,"5,000.00",
COLIBRIS,0.00,Locaux
COLLECTIF 33 : LA SANTE UN DROIT POUR TOUS,0.00,Locaux
COLLECTIF BORDEAUX-MARINOPOLE,0.00,Locaux
COLLECTIF BTP,0.00,Locaux
COLLECTIF CLIFFHANGER,0.00,Locaux
COLLECTIF COMMENT C'EST MAINTENANT?,0.00,Locaux
COLLECTIF DE RESSOURCES BORDEAUX-NORD,"28,000.00",
COLLECTIF DES ASSOCIATIONS D'OUTRE-MER EN AQUITAINE DIT CAOMA,0.00,Locaux
COLLECTIF FETE DU JEU DE BORDEAUX,0.00,Matériel pour manifestations
COLLECTIF GIRONDIN DES ASSOCIATIONS AUTOUR DE L'AUTISME (CG3A),0.00,Locaux
COLLECTIF INTERASSOCIATIF SUR LA SANTE EN AQUITAINE - CISSA,"2,000.00",Locaux
COLLECTIF KLOUDBOX LABORATOIRE DE CREATIONS AUDIOVISUELLES ET GRAPHIQUES,0.00,"Matériel pour manifestations, locaux"
COLLECTIF LESCURE,"2,000.00",
COLLECTIF LIBRE ET INDEPENDANT DE LA POLICE DE GIRONDE (CLIP 33),0.00,Locaux
COLLECTIF MIXERATUM ERGO SUM,"3,100.00","Matériel pour manifestations, locaux"
COLLECTIF ORGANISATIONS SOLIDARITE INTERNATIONALE ISSUES MIGRATIONS EN AQUITAINE (COSIM AQUITAINE),0.00,Locaux
COLLECTIF OS'O,"8,000.00",Locaux
COLLECTIF T CAP,"2,500.00",
COLLEGE JACQUES ELLUL,"1,500.00",
COMENFRANCE,0.00,Locaux
"COMITE ACCOMPAGNEMENT URBANISME, DEFENSE DE L'ENVIRONNEMENT ET RESPECT DE LA SECURITE - CAUDERES",800.00,Matériel pour manifestations
COMITE ACTION PALESTINE,0.00,Locaux
COMITE ANIMATION DU QUARTIER TONDU-CARREIRE,"1,000.00",
COMITE AQUITAIN DE L'ASSOCIATION FRANÇAISE DES HEMOPHILES (CAAFH),0.00,Locaux
COMITE AQUITAIN DE LA PLANETE TERRE (CAP TERRE),0.00,Matériel pour manifestations
COMITE BORDEAUX SUD,0.00,Locaux
"COMITE D'ANIMATION, DE BIENFAISANCE ET DE DEFENSE DES INTERETS DU QUARTIER NANSOUTY","3,700.00","Matériel pour manifestations, équipements sportifs,"
COMITE DE BIENFAISANCE ET DE DEFENSE DES INTERETS DU QUARTIER CAUDERAN-SUD,"1,000.00",
COMITE DE CURVY AQUITAINE,0.00,Locaux
COMITE DE GIRONDE D'ATHLETISME,0.00,Matériel pour manifestations
COMITE DE GIRONDE DE BADMINTON (CO.GI.BAD),0.00,Equipements sportifs
COMITE DE QUARTIER BRACH VINCENNES,"1,600.00",
COMITE DE QUARTIER DANGUILHEM-EMILE ZOLA-BARRIERE DE PESSAC,500.00,
COMITE DE QUARTIER DE CAUDERAN - CQC,0.00,"Equipements sportifs, locaux"
COMITE DE QUARTIER MARECHAUX/POINCARE,0.00,Locaux
COMITE DE SOUTIEN POUR JOHAN GIRAUD-GIRARD,0.00,"Matériel pour manifestations, locaux"
COMITE DEPARTEMENTAL DE L'ASSOCIATION DE DEFENSE DES MALADES INVALIDES ET HANDICAPES - AMI 33,500.00,Locaux
COMITE DEPARTEMENTAL DE L'UNION FRANÇAISE DES OEUVRES LAIQUES D'EDUCATION PHYSIQUE - UFOLEP,0.00,Equipements sportifs
COMITE DEPARTEMENTAL DE LA GIRONDE CONTRE LE CANCER (CODECOC 33),0.00,"Matériel pour manifestations, locaux"
COMITE DEPARTEMENTAL DE LA RANDONNEE PEDESTRE DE GIRONDE,0.00,Locaux
COMITE DEPARTEMENTAL DE NATATION DE LA GIRONDE,0.00,Matériel pour manifestations
"COMITE DEPARTEMENTAL DES MEDAILLES DE LA JEUNESSE, DES SPORTS ET DE L'ENGAGEMENT ASSOCIATIF GIRONDE",0.00,Locaux
COMITE DEPARTEMENTAL DU SPORT ADAPTE DE LA GIRONDE (CDSA 33),0.00,Equipements sportifs
COMITE DEPARTEMENTAL HANDISPORT DE LA GIRONDE,750.00,
COMITE DEPARTEMENTAL OLYMPIQUE ET SPORTIF DE LA GIRONDE,0.00,Locaux
COMITE DES COMMERCANTS DE LA RUE DE GRASSI,"1,650.00",
"COMITE DES FETES DE BACALAN, BLANQUI ET CLAVEAU",0.00,"Matériel pour manifestations, locaux"
COMITE DES FETES DE BIENFAISANCE ET DES INTERETS DE ST-GENES TALENCE BORDEAUX,500.00,
COMITE D’ANIMATION LAFONTAINE-KLEBER (CALK),"9,200.00","Matériel pour manifestations, locaux"
"COMITE ETUDE ET INFORM. DROGUE (PREV. ET TRAIT. TOXICOMANIES ET AUTRES ADDICTIONS), CEID-ADDICTIONS","41,400.00","Matériel pour manifestations, équipements sportifs,"
COMITE FEMININ GIRONDE POUR LA PREVENTION ET LE DEPISTAGE DES CANCERS,"1,000.00","Matériel pour manifestations, locaux"
COMITE FRANCAIS POUR LE FONDS DES NATIONS UNIES POUR L'ENFANCE - UNICEF FRANCE,0.00,Locaux
COMITE GIRONDIN DE COURSE D'ORIENTATION,0.00,Matériel pour manifestations
COMITE MIRABEAU BORDELAIS 2017,0.00,Locaux
COMITE PALESTINE 33,0.00,Locaux
COMITE REGIONAL D’AQUITAINE DE NATATION,0.00,Matériel pour manifestations
COMITE REGIONAL HANDISPORT D'AQUITAINE,0.00,Locaux
COMITE REGIONAL UFOLEP AQUITAINE,"2,000.00",
COMITE REPRESENTATIF DES IDENTITES SOURDES - CRIS,0.00,Locaux
COMITE SCIENTIFIQUE DU CENTRE D'EXPERTISE MEDICALE DU PERSONNEL NAVIGANT DE BORDEAUX (CEMPN),0.00,Locaux
COMMERCANTS DE LA RUE DU TEMPLE,"2,085.00",
COMMERCANTS DU VILLAGE NANSOUTY,0.00,
COMMUNAUTE CAMEROUNAISE DE BORDEAUX (CCB),0.00,Locaux
COMMUNE LIBRE DU QUARTIER SAINT-PIERRE,980.00,Matériel pour manifestations
COMMUNIC'ARTE,0.00,Locaux
COMMUNIQUER EN EUROPE,0.00,Locaux
COMPAGNIE ACCESS,"10,000.00",
COMPAGNIE BETTY BLUES (THEATRE ET MUSIQUE),0.00,Locaux
COMPAGNIE BIVOUAC,"3,000.00",
COMPAGNIE CRU DES SENS,0.00,Locaux
COMPAGNIE DES LIMBES,"2,000.00","Matériel pour manifestations, locaux"
COMPAGNIE DES MARCHES DE L'ETE,"35,000.00","Communication, matériel pour manifestations, locaux"
COMPAGNIE DONC Y CHOCS,"2,000.00",Locaux
COMPAGNIE DU BARRAGE,0.00,Matériel pour manifestations
COMPAGNIE DU SI,0.00,Locaux
COMPAGNIE EN APARTE,0.00,Locaux
COMPAGNIE GABRIEL,0.00,Locaux
COMPAGNIE HORS SERIE,"42,000.00","Matériel pour manifestations, locaux"
COMPAGNIE INDIRA,0.00,Locaux
COMPAGNIE JEANNE SIMONE,"3,000.00",
COMPAGNIE LA MARGINAIRE,0.00,Locaux
COMPAGNIE LEITMOTIV,0.00,"Matériel pour manifestations, locaux"
COMPAGNIE NEE D'UN DOUTE,"1,000.00",
