Année,nom des bénéficiaires,Montant du fonds de concours ou de la subvention (numéraire),Prestations en nature
2016,ART EN ACTION - TIC-TAC THEATRE,0,Locaux
2016,ART EN PRODUCTION,0,Locaux
2016,ART MEDIUM EN SCENES,0,Locaux
2016,ART PASTEL,0,Matériel pour manifestations
2016,ARTISANS DU MONDE BORDEAUX,0,Matériel pour manifestations
2016,ARTS CROISES,0,Locaux
2016,ARTS ET COMMUNICATION DU MONDE - ACM,0,"Locaux, matériel pour manifestations"
2016,ARTS ET LETTRES DE FRANCE ASSOCIATION CULTURELLE INTERNATIONALE,0,Locaux
2016,ARTS ET SCIENCES,0,Locaux
2016,ARTS MARTIAUX ET BIEN ETRE,0,"Locaux, équipements sportifs"
2016,ARTS MARTIAUX TRADITIONNELS BORDELAIS,0,Equipements sportifs
2016,"ASAD DE BORDEAUX, ASSOCIATION SERVICES D’AIDE A DOMICILE DE BORDEAUX",0,Locaux
2016,ASC BNP PARIBAS BX TT,0,Equipements sportifs
2016,ASPER 33,0,Locaux
2016,"ASSOCIATION ""LA BOULANGERIE""",0,"Locaux, matériel pour manifestations"
2016,ASSOCIATION AFRICAN SOLIDARITE FRANCE (AASF),0,Locaux
2016,ASSOCIATION AMITIE LAO MEKONG DE LA GIRONDE,0,Locaux
2016,ASSOCIATION AQUITAINE DE QUILLES FINLANDAISES (QUIF),0,Locaux
2016,ASSOCIATION ARTS & RENCONTRES,0,Locaux
2016,ASSOCIATION AUTONOME DES PARENTS D'ELEVES DE BORDEAUX : ECOLES JEAN COCTEAU,0,Locaux
2016,ASSOCIATION BI-IZARRAK (LES DEUX ETOILES),0,Locaux
2016,ASSOCIATION BORDEAUX - USA,0,Matériel pour manifestations
2016,ASSOCIATION BORDEAUX CULTURE GRAPPLING (ABC GRAPPLING),0,Equipements sportifs
2016,ASSOCIATION BORDEAUX QUINCONCES,0,"Communication, matériel pour manifestations"
2016,ASSOCIATION BORDEAUX-TANESSE,0,Matériel pour manifestations
2016,ASSOCIATION BORDELAISE DE TAEKWONDO INTERNATIONAL ATLANTICA,0,Equipements sportifs
2016,ASSOCIATION BULGARE CULTURELLE - ABC,0,Locaux
2016,ASSOCIATION COMUNIDAD,0,Locaux
2016,ASSOCIATION CONTRE LA TUBERCULOSE ET LES MALADIES ENDEMIQUES - ACTUME,0,"Locaux, matériel pour manifestations"
2016,ASSOCIATION COOPERATIVE DE L'INSTITUT UNIVERSITAIRE DE TECHNOLOGIE,0,Locaux
2016,ASSOCIATION CREMATISTE DE LA GIRONDE,0,Matériel pour manifestations
2016,ASSOCIATION CULTURE ET MUSIQUE DE L'ESTUAIRE - ACME,0,Matériel pour manifestations
2016,ASSOCIATION CULTURELLE DES ALEVIS DE GIRONDE,0,Locaux
2016,ASSOCIATION CULTURELLE DES ELEVES DU LYCEE MONTESQUIEU - ACELM,0,Locaux
2016,ASSOCIATION CULTURELLE DES KABYLES DE BORDEAUX (ACKB),0,Locaux
2016,ASSOCIATION D'AQUITAINE DES AMIS D'ALGERIANIE,0,Locaux
2016,ASSOCIATION DAVID ET JONATHAN,0,Locaux
2016,ASSOCIATION DE CARDIOLOGIE D'AQUITAINE,0,Matériel pour manifestations
2016,ASSOCIATION DE DEFENSE DES RESIDENTS DE LA GALERIE (ADREGA),0,Locaux
2016,ASSOCIATION DE DEVELOPPEMENT NATUREL (A.D.N.),0,Locaux
2016,ASSOCIATION DE FAMILLES DE TRAUMATISES CRANIENS AVENIR - AFTC AVENIR,0,"Locaux, matériel pour manifestations"
2016,ASSOCIATION DE L'AIDE FAMILIALE POPULAIRE - U.D.C.S.F.,0,Locaux
2016,ASSOCIATION DE L'ECOLE COREENNE DE BORDEAUX - AECB,0,Locaux
2016,ASSOCIATION DE LA FONDATION ETUDIANTE POUR LA VILLE - AFEV,0,Locaux
2016,ASSOCIATION DE LOCATAIRES SEM-LM,0,Locaux
2016,ASSOCIATION D'AMITIE FRANCO-VIETNAMIENNE (AAFV),0,Locaux
2016,ASSOCIATION DE PARENTS D'ELEVES DE L'ENSEIGNEMENT LIBRE SAINT-MICHEL/SAINT-GENES,0,Locaux
2016,ASSOCIATION DE PATIENTS POUR PREVENTION TRAITEMENT LUTTE CONTRE MALADIE CHRONIQUE L'OBESITE (ALOA),0,Locaux
2016,ASSOCIATION DE PREFIGURATION DE LA COOPERATIVE DE PRESTATAIRES RESPONSABLES SUD-OUEST,0,Locaux
2016,ASSOCIATION DE PREFIGURATION D'UNE PLATEFORME D'AQUITAINE POUR LE COMMERCE EQUITABLE (LA PLACE),0,Locaux
2016,ASSOCIATION DE RIVERAINS BAST-ID,0,Locaux
2016,ASSOCIATION DE SOLIDARITE BORDEAUX,0,Locaux
2016,ASSOCIATION DE SOPHROLOGIE EXISTENTIELLE DE BORDEAUX,0,Locaux
2016,ASSOCIATION DEPART. AMIS ET PARENTS DE PERS. HANDICAPEES MENTALES - LES PAPILLONS BLANCS (ADAPEI),0,Matériel pour manifestations
2016,ASSOCIATION DEPARTEMENTALE APAJH DE LA GIRONDE,0,Locaux
2016,ASSOCIATION DEPARTEMENTALE DE L'OFFICE CENTRAL DE LA COOPERATION A L'ECOLE DE LA GIRONDE - AD-OCCE,0,Locaux
2016,ASSOCIATION DEPARTEMENTALE DES CONJOINTS SURVIVANTS ET PARENTS D'ORPHELINS DE LA GIRONDE - FAVEC 33,0,Locaux
2016,ASSOCIATION DEPARTEMENTALE DES PARENTS D'ELEVES DE L'ENSEIGNEMENT PUBLIC DE LA GIRONDE - PEEP AD 33,0,Locaux
2016,ASSOCIATION DES AMIS D'ELIANE LAVAIL,0,Locaux
2016,ASSOCIATION DES CITES DU SECOURS CATHOLIQUE - DELEGATION BORDEAUX,0,Locaux
2016,ASSOCIATION DES COMMERCANTS BORDEAUX RIVE DROITE (BRD),0,Locaux
2016,ASSOCIATION DES COMMERCANTS CAUDERAN CENTRE,0,Matériel pour manifestations
2016,ASSOCIATION DES COMMERCANTS ET ARTISANS DU QUARTIER SAINT MICHEL,0,"Locaux, matériel pour manifestations"
2016,ASSOCIATION DES COMMERCANTS ET ARTISANS DU QUARTIER STEHELIN,0,Matériel pour manifestations
2016,ASSOCIATION DES COMMERCANTS ET PROFESSIONNELS DE L'ART DE LA RUE BOUFFARD,0,Matériel pour manifestations
2016,ASSOCIATION DES COREENS DE BORDEAUX (ACB),0,"Locaux, matériel pour manifestations"
2016,ASSOCIATION DES DAMES DU CALVAIRE DE BORDEAUX - MAISON DE SANTE MARIE GALENE,0,Locaux
2016,ASSOCIATION DES DONNEURS DE VOIX,0,Locaux
2016,ASSOCIATION DES ELEVES AVOCATS ALIENOR 2015 - ADEAA,0,Locaux
2016,ASSOCIATION DES ELEVES INGENIEURS DE L'ECOLE NATIONALE SUPERIEURE DES ARTS ET METIERS - AE ENSAM,0,Matériel pour manifestations
2016,ASSOCIATION DES ELEVES-AVOCATS ALIENOR 2016,0,Locaux
2016,ASSOCIATION DES ETUDIANTS EN PSYCHOLOGIE DU TRAVAIL ET ERGONOMIE DES SYSTEMES,0,Locaux
2016,ASSOCIATION DES ETUDIANTS REUNIONNAIS A BORDEAUX - AERB,0,Locaux
2016,ASSOCIATION DES FAMILLES D'ENFANTS DE LA POSTE ET D'ORANGE - AFEH,0,Locaux
2016,ASSOCIATION DES GROUPES BIBLIQUES ET UNIVERSITAIRES DE FRANCE - AGBUF-GBU,0,Locaux
2016,ASSOCIATION DES GUIDES INTERPRETES ET CONFERENCIERS D'AQUITAINE - AGICA,0,Locaux
2016,ASSOCIATION DES MAIRES DE LA GIRONDE,0,Matériel pour manifestations
2016,ASSOCIATION DES MUSULMANS DE BORDEAUX NORD (A.M.B.N.),0,Matériel pour manifestations
2016,ASSOCIATION DES MUSULMANS DE LA GIRONDE,0,Locaux
2016,ASSOCIATION DES PARENTS D'ELEVES DE L'ENSEIGNEMENT PUBLIC DU LYCEE CAMILLE JULLIAN,0,Locaux
2016,ASSOCIATION DES PROFESSIONNELS AQUITAINS DE LA COMMUNICATION (APACOM),0,Locaux
2016,ASSOCIATION DES PSYCHOMOTRICIENS DE LA GIRONDE,0,Locaux
2016,ASSOCIATION DES RESIDENCES DE L'ILOT BONNAC,0,Locaux
2016,ASSOCIATION DES RETRAITES IRSEA D'AQUITAINE (A.R.I.A.).,0,"Locaux, matériel pour manifestations"
2016,ASSOCIATION DES RIVERAINS DE LA PLACE MITCHELL,0,Matériel pour manifestations
2016,ASSOCIATION DES RIVERAINS DU QUARTIER ORNANO-GAVINIES,0,Matériel pour manifestations
2016,ASSOCIATION DES STAGIAIRES ET ETUDIANTS CAMEROUNAIS DE BORDEAUX (ASECB),0,Locaux
2016,ASSOCIATION DES OEUVRES GIRONDINES DE PROTECTION DE L'ENFANCE,0,Locaux
2016,ASSOCIATION DU PERSONNEL DE L'OPERA NATIONAL DE BORDEAUX,0,"Locaux, équipements sportifs"
2016,ASSOCIATION DU SOUVENIR DES FUSILLES DE SOUGE,0,"Locaux, matériel pour manifestations"
2016,ASSOCIATION DU VELO TOUTES VIGNES (AVTV),0,Matériel pour manifestations
2016,ASSOCIATION ECOPOLES,0,Locaux
2016,ASSOCIATION EDUCATIVE D'INSERTION SOCIALE (AEIS),0,Locaux
2016,ASSOCIATION EMMAUS GIRONDE,0,Matériel pour manifestations
2016,ASSOCIATION ETUDIANTE CULTURELLE BOIS DE ROSE,0,Locaux
2016,ASSOCIATION FAMILIALE CATHOLIQUE BORDEAUX SAINTE-EULALIE VICTOIRE,0,Matériel pour manifestations
2016,ASSOCIATION FORMATION ET EDUCATION PERMANENTE DE TIVOLI - AFEPT,0,Locaux
2016,ASSOCIATION FRANCAISE DE PERSONNES SOUFFRANT DE TROUBLES OBSESSIONNELS COMPULSIFS AFTOC,0,Locaux
2016,ASSOCIATION FRANCAISE DES FUNDRAISERS - GROUPE AQUITAINE,0,Locaux
2016,ASSOCIATION FRANCO-BRESILIENNE POUR LA RECHERCHE DE L'EQUILIBRE - AFBRE,0,Equipements sportifs
2016,ASSOCIATION FRANCO-KURDE,0,Equipements sportifs
2016,ASSOCIATION France - UKRAINE,0,Locaux
2016,ASSOCIATION GENERALE DES LOCATAIRES,0,Locaux
2016,ASSOCIATION GENERALE INTERVENANTS RETRAITES POUR ACTIONS BENEVOLES DE COOPERATION ET DEVELOPPEMENT,0,Locaux
2016,ASSOCIATION GIRONDINE DES ACTIVITES PROTEGEES - SPORT - LOISIRS (AGAP - SPORT - LOISIRS),0,Equipements sportifs
2016,ASSOCIATION GOLF D'ENTREPRISES INTER-ENTREPRISES GOLF DE BORDEAUX - IEGB,0,Locaux
2016,"ASSOCIATION INTERNATIONALE POUR LA CULTURE, LE DEVELOPPEMENT ET LA PAIX (AICDP)",0,Locaux
2016,ASSOCIATION INTERPROFESSIONNELLE BIO REGIONALE (AQUITAINE/LIMOUSIN/POITOU-CHARENTES OU EQUIVALENT),0,Matériel pour manifestations
2016,ASSOCIATION JEUNESSE FUTSAL (A.J.F.),0,Equipements sportifs
2016,ASSOCIATION LE MERLE MOQUEUR,0,"Locaux, matériel pour manifestations"
2016,ASSOCIATION LEA - UNIVERSITE BORDEAUX MONTAIGNE,0,Locaux
2016,ASSOCIATION MALADIE CHRONIQUE SPORT BIEN ETRE,0,Locaux
2016,ASSOCIATION MALINE,0,Locaux
2016,ASSOCIATION MARIE DE LUZE,0,Locaux
2016,ASSOCIATION MUSICALARUE,0,Matériel pour manifestations
2016,ASSOCIATION NATIONALE DES ANCIENS ET AMIS DE L'INDOCHINE ET DU SOUVENIR INDOCHINOIS,0,Locaux
2016,ASSOCIATION NATIONALE DES RETRAITES DE LA POSTE ET DE France TELECOM,0,Locaux
2016,ASSOCIATION NATIONALE DES HOSPITALIERS RETRAITES,0,Locaux
2016,ASSOCIATION NATIONALE POUR LES ENFANTS INTELLECTUELLEMENT PRECOCES DE L'AQUITAINE - ANPEIP,0,Locaux
2016,ASSOCIATION PAROLE BEGAIEMENT - APB - DELEGATION DEPARTEMENTALE,0,Locaux
2016,ASSOCIATION POUR L'ENTRAIDE CONTRE LA RECHUTE DE DEPRESSION - AERD,0,Locaux
2016,ASSOCIATION POUR L'ENVIRONNEMENT ET LA SECURITE EN AQUITAINE - APESA,0,Locaux
2016,ASSOCIATION POUR L'UNIFICATION DU DROIT DES AFFAIRES EN EUROPE (AUDE),0,Locaux
2016,ASSOCIATION POUR LA DEFENSE DE LA FAMILLE ET DE L'INDIVIDU (ADFI),0,Locaux
2016,ASSOCIATION POUR LA PROMOTION DES ARTISTES ET CULTURES DU MONDE APAC,0,Matériel pour manifestations
2016,ASSOCIATION POUR LA RECHERCHE CLINIQUE DE BORDEAUX NORD - ARCBN,0,Locaux
2016,ASSOCIATION POUR LA SURVEILLANCE DE LA QUALITE DE L'AIR EN AQUITAINE (AIRAQ),0,Locaux
2016,ASSOCIATION POUR LA VALORISATION EN RELATION AVEC LES PROFESSIONNELS REGION AQUITAINE,0,Locaux
2016,ASSOCIATION POUR LE DEVELOPPEMENT DES ACTIVITES PHYSIQUES ADAPTEES - ADAPA,0,Matériel pour manifestations
2016,ASSOCIATION POUR LE DEVELOPPEMENT L'INSERTION ET L'ACCOMPAGNEMENT PERSONNES HANDICAPEES - ADIAPH,0,Locaux
2016,ASSOCIATION POUR LE DON DE SANG BENEVOLE DE BORDEAUX ET ENVIRONS,0,Locaux
2016,ASSOCIATION POUR LE DROIT A L'INITIATIVE ECONOMIQUE - ADIE,0,Matériel pour manifestations
2016,ASSOCIATION POUR LES FOUILLES ARCHEOLOGIQUES NATIONALES - AFAN,0,Locaux
2016,ASSOCIATION PSYCHANALITIQUE DES THERAPEUTES FAMILIAUX D'AQUITAINE - APSYFA,0,Locaux
2016,ASSOCIATION RENOVATION,0,"Locaux, équipements sportifs"
2016,ASSOCIATION RUN FEMINA TOUR,0,Matériel pour manifestations
2016,ASSOCIATION SOCIALE POUR L'EMPLOI - ASPE,0,Locaux
2016,ASSOCIATION SOCIO CULTURELLE DE L'ECOLE DE REEDUCATION PROFESSIONNELLE - ASCERP,0,Locaux
2016,ASSOCIATION SOCIO CULTURELLE LE TAYTA,0,Locaux
2016,ASSOCIATION SOLIDARTE EMPLOI (ASE) - ADELPHE,0,Locaux
2016,ASSOCIATION SPORTIVE BANQUE POPULAIRE DU SUD-OUEST,0,Equipements sportifs
2016,ASSOCIATION SPORTIVE COLBERT ASC,0,Equipements sportifs
2016,ASSOCIATION SPORTIVE CULTURELLE DU GAN (ASC GAN),0,Equipements sportifs
2016,ASSOCIATION SPORTIVE DE LA POLICE JUDICIAIRE DE BORDEAUX,0,Equipements sportifs
2016,ASSOCIATION SPORTIVE DES ANCIENS ET AMIS DE L'ECOLE NORMALE D'INSTITUTEURS (ASAAENI),0,Equipements sportifs
2016,ASSOCIATION SPORTIVE ET CULTURELLE DE MAYOTTE,0,Equipements sportifs
2016,ASSOCIATION SPORTIVE FC PORTO DE BORDEAUX,0,Equipements sportifs
2016,ASSOCIATION SPORTIVE KASHIRA AIKIDO,0,Equipements sportifs
2016,ASSOCIATION SPORTIVE KUNG-FU WUSHU DE BACALAN,0,"Equipements sportifs, matériel pour manifestations"
2016,ASSOCIATION SPORTIVE LOVENTA AUTOMATIQUE,0,Equipements sportifs
2016,ASSOCIATION SPORTIVE SALINIERES,0,Equipements sportifs
2016,ASSOCIATION TERRITOIRES ET INNOVATION SOCIALE (ATIS),0,Locaux
2016,ASSOCIATION THEATR'ACTIF,0,Locaux
2016,ASSOCIATION VENEZUELA A BORDEAUX,0,Locaux
2016,ASSOENCORE,0,"Locaux, matériel pour manifestations"
2016,ATELIER 14 CENTRE DE PRATIQUES ARTISTIQUES ET DE RECHERCHES CHOREGRAPHIQUES,0,Matériel pour manifestations
2016,ATELIER D’ASTROLOGIE D’AQUITAINE,0,Locaux
2016,ATELIER VOCAL D'AQUITAINE,0,Locaux
2016,ATELIERS LIBRES D'AQUITAINE,0,Locaux
2016,ATELIERS TLC,0,Locaux
2016,ATLANTIC OLDTIMER.COM,0,Matériel pour manifestations
2016,AU-DELA DES DUNES,0,Locaux
2016,AUDITION ET ECOUTE 33 - ASSOCIATION DES PERSONNES ATTEINTES DE PATHOLOGIE AUDITIVE DE LA GIRONDE,0,Locaux
2016,AUDITION SOLIDAIRE FRANCE SENEGAL,0,Locaux
2016,BASTIDE EN SCENES,0,Matériel pour manifestations
2016,BELLIBULLE,0,Matériel pour manifestations
2016,BENEVOLES EN ACTION,0,Locaux
2016,BIBLIOTHECA,0,Locaux
2016,BIEN-ETRE & BONHEUR DE VIVRE - BBV,0,Locaux
2016,BIO D'AQUITAINE,0,Locaux
2016,BIO'GUSTIN,0,Locaux
2016,BOK DIEUF,0,Locaux
2016,BORD'EAUX LOISIR PECHE,0,Matériel pour manifestations
2016,BORDEAUX AQUITAINE AERONAUTIQUE ET SPATIAL,0,Locaux
2016,BORDEAUX BACKGAMMON CLUB,0,Locaux
2016,BORDEAUX CAUDERAN BRIDGE CLUB (BCBC),0,Locaux
2016,BORDEAUX DANCE'IN CLUB,0,"Locaux, équipements sportifs, matériel pour"
2016,BORDEAUX DEMAIN,0,Locaux
2016,BORDEAUX FUTSAL CLUB,0,Locaux
2016,BORDEAUX INTER CHALLENGE - BIC,0,Locaux
2016,BORDEAUX MAYOTTE 101,0,Equipements sportifs
2016,BORDEAUX NIHONGO HOSHU JUGYOKO (ECOLE COMPLEMENTAIRE JAPONAISE DE BORDEAUX),0,"Locaux, matériel pour manifestations"
2016,BORDEAUX PALMES AVENTURE,0,Equipements sportifs
2016,BORDEAUX SPORTS,0,Communication
2016,BORDEAUX TEATRO ITALIANO (BTI),0,"Locaux, matériel pour manifestations"
2016,BORDEAUX WOMEN'S CLUB,0,Locaux
2016,BORDEAUX Y NOV CAMPUS,0,Equipements sportifs
2016,BORDELAIS ASSOCIATIFS FALUCHARDS,0,Locaux
2016,BOULEVARD DES POTES,0,"Locaux, matériel pour manifestations"
2016,BOXING CLUB BACALANAIS,0,"Locaux, équipements sportifs"
2016,BRASS BAND BORGIAQ,0,Matériel pour manifestations
2016,BURDIGALA CORPORATION,0,Matériel pour manifestations
2016,BURDIGALA SAVATE-CLUB,0,Equipements sportifs
2016,C.F.A. - CENTRE DE FORMATION ADAGE,0,Locaux
2016,C.O.D. FORMATION (FORMASUP CAMPUS),0,Matériel pour manifestations
2016,CAC33,0,Locaux
2016,CAHIERS D'ARCHIVES,0,Locaux
2016,CALICONTE,0,Locaux
2016,CANCER SUPPORT FRANCE BORDEAUX & REGION (CSF BORDEAUX & REGION),0,Locaux
2016,CAP AND CO,0,Equipements sportifs
2016,"CAP CARREIRE : CULTURES, ANIMATIONS ET PARTAGES",0,Matériel pour manifestations
2016,CAP DE VIE,0,Locaux
2016,CARABINS DE BORDEAUX,0,Matériel pour manifestations
2016,CDISCOUNT@SPORT,0,Equipements sportifs
2016,CENTRE ATLANTIC,0,Locaux
2016,CENTRE CULTUREL TURC DE BORDEAUX ET SES ENVIRONS,0,Equipements sportifs
2016,CENTRE D'ETUDES DE L'AUTO CONNAISSANCE,0,Locaux
2016,CENTRE D'INFORMATION METAPSYCHIQUE - CDIM,0,Locaux
2016,CENTRE DE LIAISON DES EQUIPES DE RECHERCHE (CLER AMOUR ET FAMILLES),0,Locaux
2016,CENTRE DE MUSICOTHERAPIE DE LA GIRONDE,0,Locaux
2016,CENTRE DE RECHERCHE ET D'INFORMATION POUR LE DEVELOPPEMENT - CRID,0,Locaux
2016,CENTRE DE SOPHROLOGIE DYNAMIQUE DE BORDEAUX,0,Locaux
2016,CENTRE DES ETUDES DE LA REPUBLIQUE DEMOCRATIQUE,0,Locaux
2016,CENTRE DES FESTIVALS FRANCE-RUSSIE,0,"Locaux, matériel pour manifestations"
2016,CENTRE ENTREPRISE COMMUNICATION AVANCEE - CECA,0,Matériel pour manifestations
2016,CENTRE REGIONAL D'AQUITAINE D'ETUDES ET D'ACTIONS SUR LES HANDICAPS ET LES INADAPTATIONS - CREAHI,0,Locaux
2016,CERCLE BORDELAIS DE SANTE (C.B.S.),0,Locaux
2016,CERCLE D'AIDE A LA VIE PAR LA VOIE SPIRITUELLE-FRANCE,0,Locaux
2016,CERCLE D'ETUDES RUSSES,0,Locaux
2016,CERCLE DES COIFFEURS CREATEURS,0,Locaux
2016,CERCLE DES ESCRIMEURS BORDELAIS (CEB),0,Locaux
2016,CERCLE JEAN BAPTISTE LYNCH,0,Locaux
2016,CERCLE OENOPHILE AQUITAIN,0,Locaux
2016,CERCLE PHILATELIQUE BORDEAUX AQUITAINE,0,Locaux
2016,CERCLE POLITEIA,0,Locaux
2016,CERCLE POLITZER,0,Locaux
2016,CHAMBRE PROFESSIONNELLE DES AGENTS COMMERCIAUX DU SUD-OUEST,0,Locaux
2016,CHEMIN DES ETOILES - CDE,0,Matériel pour manifestations
2016,CHEMINS DE VIES,0,Locaux
2016,CHEVRE FOOTBALL CLUB - CFC,0,Equipements sportifs
2016,CINERESEAUX,0,Locaux
2016,CLAC,0,Locaux
2016,CLAIR-OBSCUR,0,Locaux
2016,CLUB 41 FRANCAIS BORDEAUX N° 110,0,Locaux
2016,CLUB 89,0,Locaux
2016,CLUB AFRIQUE EN PERSPECTIVES,0,Locaux
2016,CLUB AMICAL CHAUFFOUR,0,Equipements sportifs
2016,CLUB ATHLETIQUE DU PORT AUTONOME DE BORDEAUX,0,Equipements sportifs
2016,CLUB BORDEAUX-CAMEROUN-FRANCE,0,Locaux
2016,"CLUB BORDELAIS DU CHOCOLAT ""CHOCO PASSION""",0,Locaux
2016,CLUB BOULISTE ALBERT 1ER,0,"Locaux, matériel pour manifestations"
2016,CLUB D'ENTREPRISES BORDEAUX EURATLANTIQUE,0,Matériel pour manifestations
2016,CLUB D'EXPLORATION SOUS MARINE D'AQUITAINE - CESMA,0,"Equipements sportifs, matériel pour manifestations"
2016,CLUB D'ULTIMATE DE BORDEAUX - 33 TOURS,0,Matériel pour manifestations
2016,CLUB DE CANNE ET BATON D'AQUITAINE,0,Equipements sportifs
2016,CLUB DE LA PRESSE DE BORDEAUX,0,"Locaux, matériel pour manifestations"
2016,CLUB DES RANDONNEURS DU PYLA ET DU BASSIN D'ARCACHON,0,Locaux
2016,CLUB ERASMUS ET MUNDUS,0,Locaux
2016,CLUB INDEPENDANT BORDELAIS,0,Locaux
2016,CLUB PHILOSOPHIQUE PENSEE ET AVENIR,0,Locaux
2016,CLUB « BON GOUT D'AQUITAINE »,0,Communication
2016,"COJEP BORDEAUX - CONSEIL POUR LA JUSTICE, L'EGALITE ET LA PAIX",0,Locaux
2016,COLIBRI 33,0,Locaux
2016,COLLECTIF 33 : LA SANTE UN DROIT POUR TOUS,0,Locaux
2016,COLLECTIF DES ASSOCIATIONS D'OUTRE-MER EN AQUITAINE DIT C.A.O.M.A.,0,Matériel pour manifestations
2016,COLLECTIF GIRONDIN DES ASSOCIATIONS AUTOUR DE L'AUTISME (CG3A),0,Locaux
2016,COLORS INC,0,Locaux
2016,COMENFRANCE,0,Locaux
2016,COMITE ACTION PALESTINE,0,Locaux
2016,COMITE AQUITAIN DE L'ASSOCIATION FRANCAISE DES HEMOPHILES,0,Locaux
2016,COMITE BORDEAUX BRISTOL,0,"Locaux, matériel pour manifestations"
2016,COMITE BORDEAUX SUD,0,Locaux
2016,"COMITE D'ANIMATION, DE BIENFAISANCE ET DE DEFENSE DES INTERETS DU QUARTIER NANSOUTY",0,"Locaux, équipements sportifs, matériel pour"
2016,COMITE DE DEFENSE DES INTERETS DES HABITANTS DU LOTISSEMENT JASMIN ET ANNEXES,0,Matériel pour manifestations
2016,COMITE DE DEFENSE DES TAXIS DE LA GIRONDE,0,Locaux
2016,COMITE DE LIAISON DES ACTEURS DE LA PROMOTION DANS LE SUD-OUEST - CLAP SUD-OUEST,0,Locaux
2016,COMITE DE QUARTIER DE CAUDERAN - CQC,0,"Locaux, équipements sportifs"
2016,COMITE DEPARTEMENTAL DE CYCLISME,0,Matériel pour manifestations
2016,COMITE DEPARTEMENTAL DE L'UNION FRANÇAISE DES OEUVRES LAIQUES D'EDUCATION PHYSIQUE - UFOLEP,0,Equipements sportifs
2016,COMITE DEPARTEMENTAL DE L'UNION SPORTIVE DE L'ENSEIGNEMENT DU PREMIER DEGRE DE LA GIRONDE - USEP 33,0,Equipements sportifs
2016,COMITE DEPARTEMENTAL DE NATATION DE LA GIRONDE,0,Matériel pour manifestations
2016,COMITE DEPARTEMENTAL DU SPORT ADAPTE DE LA GIRONDE (CDSA 33),0,Equipements sportifs
2016,COMITE GIRONDIN DE COURSE D'ORIENTATION,0,Matériel pour manifestations
2016,COMITE MIRABEAU BORDELAIS 2017,0,Locaux
2016,COMITE PALESTINE 33,0,"Locaux, matériel pour manifestations"
2016,COMITE REGIONAL DES ASSOCIATIONS DE JEUNESSE ET D'EDUCATION POPULAIRE AQUITAINE (CRAJEP AQUITAINE),0,Locaux
2016,COMITE REGIONAL HANDISPORT D'AQUITAINE,0,Locaux
2016,COMITE REPRESENTATIF DES IDENTITES SOURDES,0,"Locaux, matériel pour manifestations"
2016,COMMANDERIE DU BONTEMPS MEDOC ET GRAVES - SAUTERNES ET BARSAC,0,Matériel pour manifestations
2016,COMMUNAUTE CAMEROUNAISE DE BORDEAUX (CCB),0,Locaux
2016,COMMUNIC'ARTE,0,Locaux
2016,COMPAGNIE DONC Y CHOCS,0,"Locaux, matériel pour manifestations"
2016,COMPAGNIE ELVIRE 40,0,Locaux
2016,COMPAGNIE EN APARTE,0,Locaux
2016,COMPAGNIE INDIRA,0,Locaux
2016,COMPAGNIE JEUNE TALENT,0,Locaux
2016,COMPAGNIE LEITMOTIV,0,"Locaux, matériel pour manifestations"
2016,COMPAGNIE REVOLUTION,0,Locaux
2016,COMPETENCES EN TEMPS PARTAGE GUYENNE - CTP GUYENNE,0,Locaux
2016,COMPTOIR DE LA CULTURE BRESILIENNE,0,Locaux
2016,CONSEIL DEPARTEMENTAL DE LA GIRONDE,0,Equipements sportifs
2016,CONVENTION DE LA DIASPORA GABONAISE,0,Locaux
2016,COORDINATION POUR PROMOUVOIR LES COMPETENCES ET LE VOLONTARIAT AQUITAINE - CPCV AQUITAINE,0,Locaux
2016,COULEUR COREE,0,Locaux
2016,CREASSEMBLE,0,Locaux
2016,CRESUS GIRONDE,0,Locaux
2016,CRISTINAREY,0,Locaux
2016,CROISSANT FERTILE,0,"Locaux, matériel pour manifestations"
2016,CROIX ROUGE FRANÇAISE - DELEGATION LOCALE,0,Locaux
2016,CTE ETS SEXTANT AVIONIQUE,0,Equipements sportifs
2016,CULTURE ET BIBLIOTHEQUES POUR TOUS,0,Locaux
2016,CULTURE-S,0,Matériel pour manifestations
2016,CULTURES DES ARTS CREOLES ET DU MONDE 33 (CACM33),0,Locaux
2016,D'SIGN,0,Locaux
2016,DE VOLTES ET D'ASSAUTS,0,Locaux
2016,DEALERS DE SCIENCE,0,Locaux
2016,"DEFENSE DE LA LANGUE FRANCAISE, ASSOCIATION DE BORDEAUX",0,Locaux
2016,DHAGPO BORDEAUX,0,Locaux
2016,DISCO SOUPE,0,Matériel pour manifestations
2016,DIVAN D'OUEST,0,Locaux
2016,DIVERSCITES,0,Locaux
2016,DLIBERETS,0,Locaux
2016,DOJO,0,"Equipements sportifs, matériel pour manifestations"
2016,DOULEURS SANS FRONTIERES - DSF,0,Locaux
2016,DRAG RACING TEAM - DRT,0,Matériel pour manifestations
2016,DU CHIEN DANS LES DENTS,0,Locaux
2016,DU SOLEIL DANS LES PIEDS,0,Matériel pour manifestations
2016,DULCENE,0,"Locaux, matériel pour manifestations"
2016,DV2G (THEATRE VICTOIRE),0,Matériel pour manifestations
2016,ECHIQUIER BORDELAIS,0,Matériel pour manifestations
2016,ECOLE CHINOISE DE BORDEAUX,0,Locaux
